Date,Close
2010-01-04,7.643214225769043
2010-01-05,7.656428813934326
2010-01-06,7.534643173217773
2010-01-07,7.520713806152344
2010-01-08,7.570713996887207
2010-01-11,7.503929138183594
2010-01-12,7.4185709953308105
2010-01-13,7.523213863372803
2010-01-14,7.479642868041992
2010-01-15,7.354642868041992
2010-01-19,7.679999828338623
2010-01-20,7.56178617477417
2010-01-21,7.431070804595947
2010-01-22,7.0625
2010-01-25,7.252500057220459
2010-01-26,7.355000019073486
2010-01-27,7.424285888671875
2010-01-28,7.117499828338623
2010-01-29,6.859285831451416
2010-02-01,6.9546427726745605
2010-02-02,6.994999885559082
2010-02-03,7.115356922149658
2010-02-04,6.85892915725708
2010-02-05,6.980713844299316
2010-02-08,6.932857036590576
2010-02-09,7.006785869598389
2010-02-10,6.968571186065674
2010-02-11,7.0953569412231445
2010-02-12,7.156428813934326
2010-02-16,7.264286041259766
2010-02-17,7.23392915725708
2010-02-18,7.247499942779541
2010-02-19,7.202499866485596
2010-02-22,7.1578569412231445
2010-02-23,7.0378570556640625
2010-02-24,7.166429042816162
2010-02-25,7.214285850524902
2010-02-26,7.307857036590576
2010-03-01,7.463929176330566
2010-03-02,7.458929061889648
2010-03-03,7.476070880889893
2010-03-04,7.525356769561768
2010-03-05,7.819643020629883
2010-03-08,7.824285984039307
2010-03-09,7.965000152587891
2010-03-10,8.029999732971191
2010-03-11,8.053570747375488
2010-03-12,8.092857360839844
2010-03-15,7.994286060333252
2010-03-16,8.016071319580078
2010-03-17,8.00428581237793
2010-03-18,8.023214340209961
2010-03-19,7.9375
2010-03-22,8.026785850524902
2010-03-23,8.15571403503418
2010-03-24,8.19178581237793
2010-03-25,8.094642639160156
2010-03-26,8.246429443359375
2010-03-29,8.299642562866211
2010-03-30,8.423213958740234
2010-03-31,8.39285659790039
2010-04-01,8.427499771118164
2010-04-05,8.517499923706055
2010-04-06,8.555000305175781
2010-04-07,8.592857360839844
2010-04-08,8.569643020629883
2010-04-09,8.635356903076172
